Name,Thaat,Aroha,Avaroha,Vadi,Samvadi,Time,Rasa,Origin,Healing Use,Male Singer Link,Female Singer Link
Yaman,Kalyan,Ni Re Ga Ma(t) Dha Ni Sa,Sa Ni Dha Pa Ma(t) Ga Re Sa,Ga,Ni,Evening,Shanta,Hindustani,Improves sleep,https://www.youtube.com/watch?v=5axGfZ2haPM,https://www.youtube.com/watch?v=e8aG2xNEcNs
Bhairav,Bhairav,Sa Re Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Re Sa,Dha,Re,Morning,Serious,Hindustani,Grounding energy,,https://www.youtube.com/watch?v=R34akeCzJlU
Bhairavi,Bhairavi,Sa Re Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Re Sa,Ma,Sa,Morning,Devotional,Hindustani,Relieves stress,https://www.youtube.com/watch?v=FN-AQmSXagk,https://www.youtube.com/watch?v=M3Bk5lpSYis
Darbari Kanada,Asavari,Sa Re Ga (komal) Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Re Sa,Re,Pa,Late Night,Serious,Hindustani,Reduces anxiety,https://www.youtube.com/watch?v=AROV6CQ2W9Y,https://youtu.be/zab456
Desh,Khamaj,Ni Sa Re Ma Pa Ni Sa,Sa Ni Dha Pa Ma Ga Re Ga Sa,Re,Pa,Late Evening,Joyous,Hindustani,Calming and soothing effect. Helps in reducing stress,https://www.youtube.com/watch?v=kwgeiUq_FFc,
Malkauns,Bhairavi,Sa Ga Ma Dha Ni Sa,Sa Ni Dha Ma Ga Sa,Ma,Sa,Midnight,Serious,Hindustani,Helps insomnia,https://www.youtube.com/watch?v=JIBvY880GUc,
Marwa,Marwa,Ni Re Ga Ma Dha Ni Sa,Sa Ni Dha Ma Ga Re Sa,Re,Dha,Late Afternoon,Tense,Hindustani,Calms the mind,https://youtu.be/tGYemYuWWZY,
Kafi,Kafi,Sa Re Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Re Sa,Pa,Re,Late Evening,Romantic,Hindustani,Ease anxiety ,https://youtu.be/DFqqyzKUmjs,
Multani,Todi,Sa Re (komal) Ga Ma(t) Pa Dha Ni Sa,Sa Ni Dha Pa Ma(t) Ga Re Sa,Pa,Re,Afternoon,Melancholic,Hindustani,"Reduce tension,encourage self reflection",https://www.youtube.com/watch?v=kL3DQoveQNM,
Bageshree,Kafi,Sa Ga Ma Dha Ni Sa,Sa Ni Dha Pa Ma Ga Re Sa,Ma,Sa,Late Night,Romantic,Hindustani,"Reduce stress, Promote spiritual growth",,https://www.youtube.com/watch?v=rUoWx__itDo&t=4s
Shankarabharanam,Shankarabharanam,Sa Ri Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Ga,Ni,Morning,Devotional,Carnatic,Enhances spirituality,https://www.youtube.com/watch?v=aJsywTs7Vuk,
Kharaharapriya,Kharaharapriya,Sa Ri Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Ri,Dha,Evening,Devotional,Carnatic,Emotional balance,,https://www.youtube.com/watch?v=w1fJSK_LN68
Todi,Todi,Sa Ri Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Ga,Ni,Morning,Serious,Carnatic,reduces stress,,https://www.youtube.com/watch?v=ctLaRB0pdDk&list=RDQM-VSOTuzWoP4&start_radio=1
Kalyani,Kalyani,Sa Ri Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Ma,Pa,Evening,Devotional,Carnatic,Spiritual elevation,https://youtu.be/loi890,https://www.youtube.com/watch?v=b3cAxBu0pC8
Bhairavi,Bhairavi,Sa Ri Ga Ma Pa Dha Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Dha,Ga,Morning,Pathos,Carnatic,Relieves stress,https://www.youtube.com/watch?v=AROV6CQ2W9Y,
Charukesi,Charukesi,Sa Ri Ga Ma Pa Dha Ni Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Dha,Ri,Evening,Melancholic,Carnatic,create a harmonious environment,https://www.youtube.com/watch?v=IBHgJamPOm8,
Kamboji,Kamboji,Sa Ri Ga Ma Pa Dha Sa,Sa Ni Dha Pa Ma Ga Ri Sa,Pa,Ma,Evening,Heroic,Carnatic,Enhance concentration,,
Hamsadhwani,Hamsadhwani,Sa Ri Ga Pa Ni Sa,Sa Ni Pa Ga Ri Sa,Ga,Ni,Evening,Joyful,Carnatic,Joyfulness,https://youtu.be/xswedc,https://www.youtube.com/watch?v=fsyGOufeRS8
Mohanam,Mohanam,Sa Ri Ga Pa Dha Sa,Sa Dha Pa Ga Ri Sa,Pa,Ri,Evening,Romantic,Carnatic,Joyfulness,https://www.youtube.com/watch?v=nIfA-bcwFFI,https://youtu.be/yui456
Ranjani,Ranjani,Sa Ri Ga Ma Dha Sa,Sa Dha Ma Ga Ri Sa,Ma,Ri,Evening,Melodious,Carnatic,Promote a sense of peace ,,
