Name,Tradition,Specialization,Description
Pandit Bhimsen Joshi,Hindustani,Vocal,Legendary Hindustani vocalist known for his khayal and bhajan renditions.
M. S. Subbulakshmi,Carnatic,Vocal,The iconic Carnatic vocalist and Bharat Ratna awardee.
Ustad Bismillah Khan,Hindustani,Shehnai,Popularized the shehnai as a classical instrument.
Dr. M. Balamuralikrishna,Carnatic,Vocal,"A polymath of Carnatic music, composer, and multi-instrumentalist."
Pandit Ravi Shankar,Hindustani,Sitar,Global ambassador of Indian music through sitar.
Lalgudi Jayaraman,Carnatic,Violin,Revolutionized Carnatic violin playing.
Ustad Zakir Hussain,Hindustani,Tabla,World-renowned tabla maestro known for solo and fusion.
T. N. Krishnan,Carnatic,Violin,One of the greatest violinists in Carnatic music.
Kishori Amonkar,Hindustani,Vocal,Known for her deep emotional style in Jaipur-Atrauli gharana.
T. R. Mahalingam,Carnatic,Flute,Innovator in Carnatic bamboo flute playing.
Ustad Amjad Ali Khan,Hindustani,Sarod,Master of the sarod and part of a legendary lineage.
M. L. Vasanthakumari,Carnatic,Vocal,Prominent Carnatic vocalist and guru.
Ustad Vilayat Khan,Hindustani,Sitar,Known for his lyrical sitar playing and innovations.
D. K. Pattammal,Carnatic,Vocal,Part of the female trinity of Carnatic music.
Pandit Hariprasad Chaurasia,Hindustani,Bansuri,World-famous bamboo flute maestro.
M. S. Gopalakrishnan,Carnatic,Violin,Versatile violinist proficient in both Carnatic and Hindustani styles.
Ustad Rashid Khan,Hindustani,Vocal,A leading khayal singer from Rampur-Sahaswan gharana.
Sudha Ragunathan,Carnatic,Vocal,Renowned Carnatic vocalist and disciple of M. L. V.
Ustad Shahid Parvez,Hindustani,Sitar,Known for his meend-rich sitar playing.
Bombay Jayashri,Carnatic,Vocal,Internationally known Carnatic vocalist and Oscar-nominated singer.
